index,Row Created Date Time, Sponsor Name, Sponsor Code, Agency Name, Agency Code,Facility Name, Facility Code, Program Name, Program Code, Populations Served, Agency Phone, Program Phone,  Program Address 1, Program Address 2, Program City, Program State, Program Zip, Operating Certificate Required?, Program Tier, Operating Certificate Duration, Program County, Program Region, Program Type Description, Program Category Description, Program Subcategory Description,Location
34,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,Western Turnpike Community Residence,7,Adults,(518)464-1511,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
35,12/19/2017 02:08:00 PM,Acacia Network Inc.,288,PROMESA Inc.,166,PROMESA Inc.,8157,University Avenue SP/SRO,10,Adults,(718)960-7601,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
36,12/19/2017 02:08:00 PM,Housing Options Made Easy Inc.,471099,Housing Options Made Easy Inc.,11140,Housing Options Made Easy Inc.,8646,Housing Options Supported Housing/Allegany - Comm. Svcs,633,Adults,(716)532-5508,Not Available,,,,NY,,N,,,Allegany,Western New York,Supported Housing Community Services,Residential,Unlicensed Housing,
37,12/19/2017 02:08:00 PM,Steuben Churchpeople Against Poverty Inc./dba Arbor Development,442099,SCAP Inc./dba Arbor Development,50620,SCAP Inc./dba Arbor Development,7515,SCAP Supp Housing/RCE SH Allegany Cty - Comm Svcs,636,Adults,(607)654-7487x2027,Not Available,,,,NY,,N,,,Allegany,Western New York,Supported Housing Community Services,Residential,Unlicensed Housing,
38,12/19/2017 02:08:00 PM,Steuben Churchpeople Against Poverty Inc./dba Arbor Development,442099,SCAP Inc./dba Arbor Development,50620,SCAP Inc./dba Arbor Development,7515,SCAP Supp Hsing/Transformation SH Allegany Cty - Comm Svcs,642,Adults,(607)654-7487x2027,Not Available,,,,NY,,N,,,Allegany,Western New York,Supported Housing Community Services,Residential,Unlicensed Housing,
39,12/19/2017 02:08:00 PM,Steuben Churchpeople Against Poverty Inc./dba Arbor Development,442099,SCAP Inc./dba Arbor Development,50620,SCAP Inc./dba Arbor Development,7515,SCAP Supported Housing/Allegany Co. - Comm. Svcs,633,Adults,(607)654-7487x2027,Not Available,,,,NY,,N,,,Allegany,Western New York,Supported Housing Community Services,Residential,Unlicensed Housing,
40,12/19/2017 02:08:00 PM,Southern Tier Environments for Living Inc.,429099,Southern Tier Environments for Living Inc.,10510,Southern Tier Environments for Living Inc.,7341,STEL Wellsville Residence,432,Adults,(716)366-3200,Not Available,,,,NY,,Y,1.0,36.0,Allegany,Western New York,Congregate/Treatment,Residential,Treatment Program,
41,12/19/2017 02:08:00 PM,163rd Street Improvement Council,724099,163rd Street Improvement Council,30510,163rd Street Improvement Council,9233,Flossie Wilson Apartments,1,Adults,(718)620-6007,Not Available,,,,NY,,Y,1.0,36.0,Bronx,New York City,SRO Community Residence,Residential,Treatment Program,
42,12/19/2017 02:08:00 PM,ACMH Inc.,27099,ACMH Inc.,18780,ACMH Inc.,7062,ACMH Ana's House SP/SRO,24,Adults,(212)274-8558,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
43,12/19/2017 02:08:00 PM,ACMH Inc.,27099,ACMH Inc.,18780,ACMH Inc.,7062,ACMH Bronx Supported Housing-Comm.Svcs,642,Adults,(212)274-8558,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
44,12/19/2017 02:08:00 PM,ACMH Inc.,27099,ACMH Inc.,18780,ACMH Inc.,7062,ACMH Crotona Avenue SP/SRO,25,Adults,(212)274-8558,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
45,12/19/2017 02:08:00 PM,ACMH Inc.,27099,ACMH Inc.,18780,ACMH Inc.,7062,ACMH E. 144th Street SP/SRO,14,Adults,(212)274-8558,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
46,12/19/2017 02:08:00 PM,Transitional Services Inc.,461099,Transitional Services Inc.,10200,Transitional Services Inc.,6295,TSI Supported Housing - Erie Co. (CORE SHP),630,Adults,(716)874-8182,Not Available,,,,NY,,N,,,Erie,Western New York,Supported Housing Community Services,Residential,Unlicensed Housing,
47,12/19/2017 02:08:00 PM,Baltic Street AEH Inc.,702099,Baltic Street AEH Inc.,26850,Baltic Street AEH Inc.,9000,Homeworks Supported Housing/Bronx-Comm.Svcs.,631,Adults,(718)833-5929,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
48,12/19/2017 02:08:00 PM,Barrier-Free Living Inc.,102099,Barrier-Free Living Inc.,19540,Barrier-Free Living Inc.,7639,BFL East 139th Street SP/SRO,1,Adults,(212)677-6668,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
49,12/19/2017 02:08:00 PM,Bowery Residents' Committee Inc.,56099,Bowery Residents' Committee Inc.,50490,Bowery Residents' Committee Inc.,6005,BRC NYC DMH NY/NY I - Scattered Site SROs - Bronx,644,Adults,(212)803-5700,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
50,12/19/2017 02:08:00 PM,Bowery Residents' Committee Inc.,56099,Bowery Residents' Committee Inc.,50490,Bowery Residents' Committee Inc.,6005,BRC Supported Housing/Bronx I - Comm. Svcs,631,Adults,(212)803-5700,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
51,12/19/2017 02:08:00 PM,Bowery Residents' Committee Inc.,56099,Bowery Residents' Committee Inc.,50490,Bowery Residents' Committee Inc.,6005,BRC Supported Housing/Bronx II - Comm. Svcs,630,Adults,(212)803-5700,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
52,12/19/2017 02:08:00 PM,Bowery Residents' Committee Inc.,56099,Bowery Residents' Committee Inc.,50490,Bowery Residents' Committee Inc.,6005,BRC Supported Housing/NYNY III Bronx - Comm. Svcs,642,Adults,(212)803-5700,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
53,12/19/2017 02:08:00 PM,Bowery Residents' Committee Inc.,56099,Bowery Residents' Committee Inc.,50490,Bowery Residents' Committee Inc.,6005,BRC Supported Housing/PC Long Stay Bronx - Comm. Svcs,641,Adults,(212)803-5700,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
54,12/19/2017 02:08:00 PM,Bronx Addiction Services Integrated Concepts System Inc. A/K/A (BASICS),865,Bronx Addiction Svcs Integrated Concepts Syst,1857,BASICS Inc.,8120,BASICS Supported Housing/Bronx - Comm Svcs,630,Adults,(718)861-5650,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
55,12/19/2017 02:08:00 PM,Bronx Psychiatric Center,921099,Bronx Psychiatric Center,90190,Bronx Psychiatric Center,21,Bronx Transitional Living Residence I,492,Adults,(718)931-0600,Not Available,,,,NY,,Y,1.0,28.0,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,
56,12/19/2017 02:08:00 PM,Bronx Psychiatric Center,921099,Bronx Psychiatric Center,90190,Bronx Psychiatric Center,21,Bronx Transitional Living Residence II,493,Adults,(718)931-0600,Not Available,,,,NY,,Y,1.0,28.0,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,
57,12/19/2017 02:08:00 PM,Bronx Psychiatric Center,921099,Bronx Psychiatric Center,90190,Bronx Psychiatric Center,21,Crisis Residance,711,Adults,(718)931-0600,Not Available,,,,NY,,N,,,Bronx,New York City,Crisis/Respite Beds,Emergency,Crisis,
58,12/19/2017 02:08:00 PM,Bronxworks Inc.,26,Bronxworks Inc.,41530,Bronxworks Inc.,9256,The Brook,1,Adults,(646)393-4000,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
59,12/19/2017 02:08:00 PM,CAMBA Inc.,842099,CAMBA Inc.,31600,CAMBA Inc.,7747,CAMBA Citywide Supportive Housing - Comm Svcs,633,Adults,(718)287-2600,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
60,12/19/2017 02:08:00 PM,CAMBA Inc.,842099,CAMBA Inc.,31600,CAMBA Inc.,7747,CAMBA Highbridge Overlook SP/SRO,9,Adults,(718)287-2600,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
61,12/19/2017 02:08:00 PM,Catholic Charities Community Services Archdiocese of New York,75099,Catholic Charities Commun Serv/Archdiocese NY,18340,Catholic Charities Communi Serv/Arch/NY/Bronx,6975,Beacon of Hope #4,2,Adults,(212)371-1000,Not Available,,,,NY,,Y,1.0,36.0,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,
62,12/19/2017 02:08:00 PM,Catholic Charities Community Services Archdiocese of New York,75099,Catholic Charities Commun Serv/Archdiocese NY,18340,Catholic Charities Communi Serv/Arch/NY/Bronx,6975,Beacon of Hope Bronx House I,434,Adults,(212)371-1000,Not Available,,,,NY,,Y,1.0,36.0,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,
63,12/19/2017 02:08:00 PM,Catholic Charities Community Services Archdiocese of New York,75099,Catholic Charities Commun Serv/Archdiocese NY,18340,Catholic Charities Communi Serv/Arch/NY/Bronx,6975,Beacon of Hope Bronx House II,435,Adults,(212)371-1000,Not Available,,,,NY,,Y,,36.0,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,
64,12/19/2017 02:08:00 PM,Catholic Charities Community Services Archdiocese of New York,75099,Catholic Charities Commun Serv/Archdiocese NY,18340,Catholic Charities Communi Serv/Arch/NY/Bronx,6975,Beacon of Hope Bronx House III,436,Adults,(212)371-1000,Not Available,,,,NY,,Y,1.0,36.0,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,
65,12/19/2017 02:08:00 PM,Catholic Charities Community Services Archdiocese of New York,75099,Catholic Charities Commun Serv/Archdiocese NY,18340,Catholic Charities Communi Serv/Arch/NY/Bronx,6975,Beacon of Hope Cardinal Cooke Residence,433,Adults,(212)371-1000,Not Available,,,,NY,,Y,1.0,36.0,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,
66,12/19/2017 02:08:00 PM,ACMH Inc.,27099,ACMH Inc.,18780,ACMH Inc.,7062,The Association #1,430,Adults,(212)274-8558,Not Available,,,,NY,,Y,1.0,36.0,New York,New York City,Apartment/Treatment,Residential,Treatment Program,
67,12/19/2017 02:08:00 PM,Catholic Charities Community Services Archdiocese of New York,75099,Catholic Charities Commun Serv/Archdiocese NY,18340,Catholic Charities Communi Serv/Arch/NY/Bronx,6975,Beacon of Hope House-SH/Bronx County-Comm. Svcs.,630,Adults,(212)371-1000,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
68,12/19/2017 02:08:00 PM,Catholic Charities Community Services Archdiocese of New York,75099,Catholic Charities Commun Serv/Archdiocese NY,18340,Catholic Charities Communi Serv/Arch/NY/Bronx,6975,Beacon of Hope House-SH/Bronx NY/NY-Comm. Svcs.,633,Adults,(212)371-1000,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
69,12/19/2017 02:08:00 PM,Center for Urban Community Services Inc.,645099,Center for Urban Community Services Inc.,24740,Center for Urban Community Services Inc.,7964,Arthur Avenue Residences/The Sydelle,15,Adults,(212)801-3300,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
70,12/19/2017 02:08:00 PM,Community Access Inc.,109099,Community Access Inc.,18800,Community Access Inc.,7422,3rd Avenue La Casa,18,Adults,(212)780-1400,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
71,12/19/2017 02:08:00 PM,Community Access Inc.,109099,Community Access Inc.,18800,Community Access Inc.,7422,Cedar Avenue,19,Adults,(212)780-1400,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
72,12/19/2017 02:08:00 PM,Community Access Inc.,109099,Community Access Inc.,18800,Community Access Inc.,7422,Comm Access NYC DMH - Franklin Avenue SRO,2,Adults,(212)780-1400,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
73,12/19/2017 02:08:00 PM,Community Access Inc.,109099,Community Access Inc.,18800,Community Access Inc.,7422,Comm Access NYC DMH - Rev. James A. Polite SRO,1,Adults,(212)780-1400,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
74,12/19/2017 02:08:00 PM,Community Access Inc.,109099,Community Access Inc.,18800,Community Access Inc.,7422,Comm Access NYC DMH - Tinton Avenue SRO,4,Adults,(212)780-1400,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
75,12/19/2017 02:08:00 PM,Community Access Inc.,109099,Community Access Inc.,18800,Community Access Inc.,7422,Davidson Avenue,11,Adults,(212)780-1400,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
76,12/19/2017 02:08:00 PM,Community Access Inc.,109099,Community Access Inc.,18800,Community Access Inc.,7422,Vyse Avenue SRO/CR,20,Adults,(212)780-1400,Not Available,,,,NY,,Y,1.0,36.0,Bronx,New York City,SRO Community Residence,Residential,Treatment Program,
77,12/19/2017 02:08:00 PM,Community Action for Human Services Inc.,682099,Community Action for Human Services Inc.,20720,Community Action for Human Services Inc.,9030,Crotona Park West - Paige Apartments,430,Adults,(718)655-7700,Not Available,,,,NY,,Y,1.0,36.0,Bronx,New York City,SRO Community Residence,Residential,Treatment Program,
78,12/19/2017 02:08:00 PM,ComuniLife Inc.,445099,ComuniLife Inc.,10310,ComuniLife Inc.,8548,ComuniLife Burnside Walton SPSRO,8,Adults,(212)219-1618,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
79,12/19/2017 02:08:00 PM,ComuniLife Inc.,445099,ComuniLife Inc.,10310,ComuniLife Inc.,8548,ComuniLife Supported Housing/Adult Homes - Community Svcs,636,Adults,(212)219-1618,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
80,12/19/2017 02:08:00 PM,ComuniLife Inc.,445099,ComuniLife Inc.,10310,ComuniLife Inc.,8548,ComuniLife Supported Housing/Bronx - Community Services,630,Adults,(212)219-1618,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
81,12/19/2017 02:08:00 PM,ComuniLife Inc.,445099,ComuniLife Inc.,10310,ComuniLife Inc.,8548,ComuniLife Supported Housing/Bronx - NY/NY III - Comm. Svcs.,635,Adults,(212)219-1618,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
82,12/19/2017 02:08:00 PM,ComuniLife Inc.,445099,ComuniLife Inc.,10310,ComuniLife Inc.,8548,Comunilife El Rio SP/SRO,7,Adults,(212)219-1618,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
83,12/19/2017 02:08:00 PM,Concern for Independent Living Inc.,103099,Concern for Independent Living Inc.,16390,Concern for Independent Living Inc.,7609,Norwood Terrace,16,Adults,(631)758-0474,Not Available,,,,NY,,N,,,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,
84,12/19/2017 02:08:00 PM,Fountain House Inc.,157099,Fountain House Inc.,18140,Fountain House Inc.,6110,Fountain House Supported Housing/Bronx - Comm. Svcs,632,Adults,(212)582-0340,Not Available,,,,NY,,N,,,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,
85,12/19/2017 02:08:00 PM,GEEL Community Services Inc.,172099,GEEL Community Services Inc.,18820,GEEL Community Services Inc.,7385,GEEL Apartment Treatment Program,432,Adults,(718)367-1900,Not Available,,,,NY,,Y,1.0,36.0,Bronx,New York City,Apartment/Treatment,Residential,Treatment Program,
